,text,Sarcasm1
14,Στέλεχος του ΣΥΡΙΖΑ προτείνει φόρο για τα υψηλά εισοδήματα πάνω από 50% (Βίντεο): Την άποψη ότι πρέπει να επιβ... http://t.co/eFzn7fAn9X,OK
15,6. Παναγιωτη 7. Περειρα 8. ΠΑΣΟΚ 9. Ολυμπιακο 10. Σπυροπουλου  2015/1/9 02:16 EET,OK
16,«Πιο δυνατό Κ.Κ.Ε. εγγύηση για την επόμενη μέρα!»: «Το δυνάμωμα του ΚΚΕ και στις εκλογές είναι αυτό που μπορεί... http://t.co/1XgxLDwHQ1,OK
17,Και γαμώ και την Νέα Δημοκρατία γιατί ειμαι πολιτικο ακκάουντ στην τελική όχι κλαψομούνικο!!!!,Sarcastic
18,Παρασκηνιακές επαφές ΣυΡιζΑ για συμβιβασμό με τους εταίρους και συμφωνία έως τις 28 Φεβρουαρίου http://t.co/CP1fNpeXAw,OK
19,Πολύ κοντά σε συμφωνία για το Επικρατείας της ΝΔ ο Γιώργος Χατζημαρκάκης http://t.co/BAzULV1JLC,OK
20,Ε. Καϊλή: «Ηθικό ζήτημα που θα κριθεί από τον κόσμο» η μετακίνηση της Γκερέκου στη ΝΔ http://t.co/Q4oYSfJjZZ,OK
21,ΔΙΑΒΑΣΤΕ ΣΗΜΕΡΑ ΣΤΗΝ KONTRA NEWS : ΣΙΓΟΥΡΗ ΠΛΕΟΝ Η ΑΥΤΟΔΥΝΑΜΙΑ ΤΟΥ ΣΥΡΙΖΑ ΚΑΘΑΡΙΣΕ Ο ΣΑΜΑΡΑΣ ΓΙΑ ΤΟΝ ΑΛΕΞΗ ΔΥΟ... http://t.co/JZV7IHUTw1,OK
22,Το ΠΑΣΟΚ Μελβούρνης στηρίζει ανεπιφύλακτα τον Βενιζέλο http://t.co/nVIdiIRrZ0,OK
23,BriefNews: Κοντά στη ΝΔ και ο Γιώργος Χατζημαρκάκης http://t.co/DZRMJEyjud,OK
24,Τα μέτρα του ΣΥΡΙΖΑ ενάντια στη διαπλοκή http://t.co/XklqakuOyx via @youtube,OK
25,Η επιστολή αποχώρησης από το ΠΑΣΟΚ για τον Παπανδρέου http://t.co/lq9Fq6ylxq,OK
26,"""Καραμπόλες"" στα ψηφοδέλτια του ΣΥΡΙΖΑ από τα βέτο του Λαφαζάνη - Ποιά πρόσωπα μπαίνουν στα ψηφοδέλτια http://t.co/m1PhBgKU5W",OK
27,@dimoikonomu ΠΟΛΥ ΣΚΛΗΡΟΣ Ο ΒΑΣΙΛΑΚΗΣ ΜΕ ΤΙΣ ΜΕΤΑΓΡΑΦΕΣ!!!ΜΟΝΟ ΜΕ ΤΟΝ ΣΥΡΙΖΑ Ο DAVARITS ΕΙΝΑΙ ΠΟΙΟ ΧΑΛΑΡΟΣ.ΝΑ ΤΟΝ ΑΚΟΥΤΕ.ΕΧΕΙ ΜΟΥΣΙ ΚΑΙ ΤΟ Ξ,Sarcastic
28,Τα ονόματα των υποψηφίων του ΚΚΕ στην Αιτωλοακαρνανία http://t.co/VWhbATHymt,OK
29,Συνεδριάζει η Εκτελεστική Γραμματεία της ΝΔ :: left.gr http://t.co/XzhoGjWFGF,OK
30,Γιάννενα: Συμβολική κίνηση συμπαράστασης στο Γαλλικό Λαό απο τους υποψήφιους βουλευτές με το ΠΟΤΑΜΙ http://t.co/IsZPyQ3mmK #Ιωάννινα,OK
31,Υποψήφια με τη Νέα Δημοκρατία η Νόνη Δούνια http://t.co/iV7ZOyJ95f,OK
32,Οι «μεταγραφές» της ΝΔ – Στο ψηφοδέλτιο Επικρατείας ο Χατζημαρκάκης - ΤΟ ΠΟΝΤΙΚΙ http://t.co/YkfdAUV3rN via @topontiki,OK
33,"Το ""αξιακό φορτίο"" και ο ""ευρωπαϊκός προσανατολισμός"" του ΣΥΡΙΖΑ που λέγαμε... http://t.co/rinwt9la0d",Sarcastic
34,@gmourout Μερκελ και Ολαντ ΟΧΙ σε κουρεμα του χρεους ετσι ωστε να σταματησει ο Συριζα να ταζει αηδιες,OK
35,Με το ΠΑΣΟΚ «κατεβαίνει» ο Παντελής Καψής http://t.co/QXL9gnAgGW,OK
36,@NikNikolopoulos @H_Apopsi Μόνη εγγύηση η παρουσία των ΑΝΕΛ στην βουλή και στην κυβέρνηση,OK
37,Αυτοδυναμία του ΣΥΡΙΖΑ στο 40% προβλέπει το Oxford Economics http://t.co/WNseluTUfV,OK
38,Με το ΚΚΕ κατεβαίνει στις εκλογές η... Ελένη Μενεγάκη | Patrisnews http://t.co/Ag1YPkufp5,OK
39,ΑΤΤΙΚΟΣ ΣΦΥΓΜΟΣ: ΠΡΟΒΑΔΙΣΜΑ ΣΥΡΙΖΑ ΣΕ ΤΕΣΣΕΡΙΣ ΔΗΜΟΣΚΟΠΗΣΕΙΣ – ΠΟΙΑ... http://t.co/GHXY4xtD4S,OK
40,1. Παρισι 2. #paofc 3. Νεα Δημοκρατια 4. Σαμαρα 5. Περειρα  2015/1/9 09:16 EET http://t.co/zrG3roft0G,OK
41,"Στο 4,8% το κόμμα Παπανδρέου, στο 2,2% το ΠΑΣΟΚ – Δημοσκόπηση-έκπληξη http://t.co/F5tooSSBp5",OK
42,Αυτος εμαθε τα ψηφοδελτια του ΣΥΡΙΖΑ πριν τς Συριζαιους.Σύντροφε! @gmourout Μέσα τελικά η Ραχήλ και η Τζάκρη στα ψηφοδέλτια του #syriza ΟΥΦ,Sarcastic
43,Αυτό θα είναι το ψηφοδέλτιο της ΝΔ στον Έβρο http://t.co/EWa7vVMOOT,OK
44,Ο Σαμαράς επανιδρύει τη ΝΔ μέσω ψηφοδελτίων http://t.co/2Zn6s7xRy8,OK
45,Άλλο ένα νεοφιλελεύθερο μέτρο χα χαlogistis: Τα Ιδιωτικά ΚΤΕΟ δεν θα μπορούν να τιμολογούν χαμηλότερα από τα Δημόσια! http://t.co/ufQrsD0tKN,Sarcastic
46,Η νύχτα των μεγάλων μαχαιριών στον ΣΥΡΙΖΑ http://t.co/dkAnEZANrh,OK
47,Νίκη με αυτοδυναμία του ΣΥΡΙΖΑ βλέπει το Oxford Economics http://t.co/DyXSFpOC8d,OK
48,"Τα Μνημόνια, κλπ, ο ΣΥΡΙΖΑ τα ξεσκίζει και αλλάζει χωρίς πρόβλημα.  Τις Αποφάσεις για Τζαμί, γιατί δεν μπορούμε να τις αλλάξουμε;;",Sarcastic
49,ΒΔΕΛΛΑ ΗΠΕΙΡΟΣ Εντός και Εκτός συνόρων - Όλοι οι υποψήφιοι του ΚΚΕ στην Ήπειρο http://t.co/8Xrns300b1,OK
50,Μίκης Θεοδωράκης: η συνεργασία μαζί μας με το ΣΥΡΙΖΑ δεν ήταν ειλικρινής αλλά απλώς μας μεταχειρίσ... http://t.co/rPQvXGmzIx,OK
51,ΦΩΝΑΚΛΑΣ: (ΝΕΕΣ ΦΩΤΟ)ΜΕ ΤΗ ΝΔ ΣΤΗΝ Α΄ ΠΕΙΡΑΙΑ ΤΟ ΠΡΩΗΝ ΜΟΝΤΕ... http://t.co/oQySs6Jp2H.,OK
52,AvantiPopolo: ΚΙΔΗΣΟ για Σαμαρά: «Οι εμπρηστές της χώρας δεν θα κρυφτούν» http://t.co/4RirUVH0Kd via @avgerinosx,OK
53,Στο Επικρατείας της ΝΔ ο Βασίλης Οικόνομου http://t.co/xnMGNtF1V7,OK
54,#ad_placitum Οι υποψήφιοι του ΚΚΕ στην Αττική - http://t.co/4WbhLfiCPI,OK
55,Φυλλορροεί ο Βενιζέλος: Και ο Χατζημαρκάκης οδεύει προς την ΝΔ http://t.co/ViFDbFX75P,OK
56,Στα χαρακώματα ο ΣΥΡΙΖΑ – Μάχη μέχρι τελευταία στιγμή για τα ψηφοδέλτια http://t.co/bbVcZRI2ql,OK
57,Με τον Γραμματέα Πολιτικής Επιτροπής Ν.Δ. Ανδρέα Παπαμιμίκο. http://t.co/jEVYBTLeAP,OK
58,Σήμερα τα ψηφοδέλτια του ΣΥΡΙΖΑ http://t.co/dZDBfZJr2p,OK
59,Η ΜΕ ΤΗΝ ΧΡΥΣΗ ΑΥΓΗ Η ΜΕ ΤΟΥΣ ΠΟΛΙΤΙΚΟΥΣ ΑΠΑΤΕΩΝΕΣ! http://t.co/pAZG7cWTiT,OK
60,Με το ΠΑΣΟΚ «κατεβαίνει» ο Παντελής Καψής http://t.co/LoNCutfTg2 #Πολιτική,OK
61,Ανακοίνωση ΚΚΕ(μ-λ) και Μ-Λ ΚΚΕ και η λίστα των υποψηφίων του συνδυασμού - Ικαριακή Ραδιοφωνία http://t.co/gQzU6KYlmR,OK
62,Economist: Ο ΣΥΡΙΖΑ θα κερδίσει – Συμμάχους θα βρει; http://t.co/eKkUQqYchs,OK
63,@avgerinosx Ο ΚΑΘΕ ΛΑΟΣ ΕΧΕΙ ΤΟΥΣ ΗΓΕΤΕΣ ΠΟΥ ΤΟΥ ΑΞΙΖΟΥΝ! – Γράφει ο Νίκος Χειλαδάκης http://t.co/B3bkFM2qgM @FREEDYBRUNA,OK
64,. @freedybruna Ο ΚΑΘΕ ΛΑΟΣ ΕΧΕΙ ΤΟΥΣ ΗΓΕΤΕΣ ΠΟΥ ΤΟΥ ΑΞΙΖΟΥΝ! – Γράφει ο Νίκος Χειλαδάκης http://t.co/ydfi5BoiDf @zappasaspa,OK
65,Πρόγραμμα επισκέψεων υποψήφιου βουλευτή Ν.Δ. κου. Κώστα Τσιάρα για σήμερα Παρασκευή 9 Ιανουαρίου http://t.co/4Snx4FsEis,OK
66,Νεολαία ΠΑΣΟΚ κατά Γκερέκου-περιφερόμενη πολιτική τυχοδιώκτης http://t.co/qjRQ67BDOP,OK
67,"ΣΥΡΙΖΑ: Μαραθώνια η συνεδρίαση της ΚΕ, ανακοινώνονται οι λίστες: Μαραθώνια ήταν η συνεδρίαση της ΚΕ του ΣΥΡΙΖΑ για… http://t.co/TGlB4zAipx",OK
68,Οταν ο Παπαχελάς είχε αναλάβει υπό την προστασία του το ΛΑΟΣ και ο προφητικός Πιτσιρίκος http://t.co/pGmXCPunzJ,OK
69,Σήμερα τα ψηφοδέλτια του ΣΥΡΙΖΑ http://t.co/pN19Yd0tS1,OK
70,@giopso εγώ τα'χω ανάποδα. Από πάνω το ΚΚΕ από κάτω η ΑΝΤΑΡΣΥΑ.,OK
71,Το μεσημέρι η ανακοίνωση των ψηφοδελτίων του ΣΥΡΙΖΑ – Ανοιχτό το ενδεχόμενο υποψηφιότητας… http://t.co/1OysYERvh2 http://t.co/JkvOe9YhQc,OK
72,"Σήμερα ανακοινώνεται το ψηφοδέλτιο του ΣΥΡΙΖΑ στα Γιάννενα: Μετά από πυρετώδεις διαβουλεύσεις, καρατομήσεις στ... http://t.co/kV4uxUbDvY",OK
73,"ΑΠΟΧΩΡΗΣΗ ΒΟΜΒΑ των εκπροσώπων του ΣΥΡΙΖΑ από την εκπομπή του ΤΡΑΓΚΑ!!  http://t.co/ITrJmxBuAv ΕΠΙΤΕΛΟΥΣ ΚΑΠΟΙΟΙ ΠΟΥ ""ΤΟΛΜΗΣΑΝ"". ΑΛΛΟΙ ???",OK
74,@yX__ το κκε δεν μένει εκτός βουλής ρε παιδιά ;) μιλάμε για συσπείρωση μασίφ :P,Sarcastic
75,Ξεκινούν περιοδείες οι υποψήφιοι του ΚΚΕ  στην Αργολίδα http://t.co/qpiVgeG9uz,OK
76,Η Ελένη Μενεγάκη είναι μεταξύ των υποψηφίων του ΚΚΕ http://t.co/k1bg5ZJ4Ef #Πολιτική @madata,OK
77,". @freedybruna ΕΚΛΟΓΕΣ 1015 – Γκερέκου: «Σύμφωνη στο κάλεσμα για εθνική συστράτευση, το ΠΑΣΟΚ διασ... http://t.co/7Uim9hRn9l @zappasaspa",OK
78,@tou_diaolou ας αφήσουμε τα σκάρτα! Η ΔΗΜΑΡ είναι η  πραγματική κυβερνώσα άκρα αριστερά της ευθύνης!!! :)),Sarcastic
79,Νουθεσία Ρέππα στο ΚΙΔΗΣΟ για «προοδευτική» πολιτική http://t.co/96bnbnZhTf,OK
80,Η Χρυσή Αυγή θα είναι τρίτο κόμμα αυτό πλέον είναι το βασικό σενάριο,OK
81,Νεολαία ΠΑΣΟΚ για Γκερέκου: Εμπαίζει τους πολίτες για την πολιτική της επιβίωση http://t.co/GkfIjNUWmI,OK
82,Ανακοινώνονται σήμερα Παρασκευή τα ψηφοδέλτια του ΣΥΡΙΖΑ http://t.co/JMuNvgfXgk via @,OK
83,To ψηφοδέλτιο του ΠΑΣΟΚ στη Δωδεκάνησο http://t.co/AdI36zrp5E via @sharethis,OK
84,Η Χρυσή Αυγή στην Ηλεία κατεβάζει πλήρη συνδυασμό http://t.co/izjpGTQNqL http://t.co/wTWsAraegc,OK
85,Και τα δυο ΠΑΣΟΚ για φούντο.... http://t.co/vQoEFJ8KS2,Sarcastic
86,Χα χα χα...καλό !!! http://t.co/gS26c6iuZX,Sarcastic
87,Είναι στημένες οι δημοσκοπήσεις. Το ΣΥΡΙΖΑ το εκτιμώ στο 60%. @takisand @sar_iannis @TOPONTIKI,Sarcastic
88,filologos10: ΔΗΛΩΣΗ ΜΙΚΗ ΘΕΟΔΩΡΑΚΗ : Δεν στηρίζω ΣΥΡΙΖΑ !!… http://t.co/rfCnVDu4TV via @avgerinosx,OK
89,Παρουσίασε τους υποψηφίους του το ΚΚΕ Αχαΐας - Επικεφαλής ο Νίκος Καραθανασόπουλος http://t.co/LizyS6IkYU,OK
90,Ανακοίνωση της ΝΕ ΣΥΡΙΖΑ Κυκλάδων για τη θεομηνία http://t.co/iNjzndPc6h,OK
91,"Προβάδισμα 5,5% δίνει στον ΣΥΡΙΖΑ νέα δημοσκόπηση http://t.co/kcvOrWB5VY",OK
92,. @freedybruna ΕΚΛΟΓΕΣ 2015 – Ο ΑΝΤΩΝΗΣ ΜΥΛΩΝΑΚΗΣ ΕΠΙΚΕΦΑΛΗΣ ΤΟΥ ΨΗΦΟΔΕΛΤΙΟΥ ΕΠΙΚΡΑΤΕΙΑΣ ΤΟΥ  ΛΑΟΣ http://t.co/IRqmEBBjha @zappasaspa,OK
93,«Κρύφτηκε η ΝΔ πίσω από τη δική μας υπευθυνότητα» “Θ” http://t.co/j3CW71Gm3J,OK
94,ΠΑΣΟΚ ή Χρυσή Αυγή για την τρίτη εντολή #ekloges2015 http://t.co/itMeOqeAtk,OK
95,Η νύχτα της μεγάλης  σφαγής για τους  υποψήφιους του ΣΥΡΙΖΑ http://t.co/l0qMJTI2lv,OK
96,"Φορτσάκης, Σταμάτης, Λαζαρίδης, Οικονόμου στο Επικρατείας της ΝΔ http://t.co/c7ajysdtkQ",OK
97,Αποσύρεται από την πολιτική ο Α. Σπηλιωτόπουλος-Αφήνει αιχμές για την ηγεσία της ΝΔ http://t.co/Mwg9pVDCnq @velopky,OK
98,@anny_v10  χα  χα χα,Sarcastic
99,"Βρε αυτόν το ΣΥΡΙΖΑ να κυβερνάει τόσα χρόνια και να μην το πάρουμε χαμπάρι! @MVarvitsiotis ""Ο ΣΥΡΙΖΑ οδήγησε την διαπραγμάτευση σε αποτυχία""",Sarcastic
100,"Υπο διάλυση το ΠΑΣΟΚ – Έφυγε ακόμη ένα στέλεχος: Σηκώνουν ψηλά τα χέρια στο ΠΑΣΟΚ, ενώ ο Ευάγγελος Βενιζέλος… http://t.co/2zKjeIZZkZ",OK
101,Ο Γ. Τράγκας για τις μυστικές δημοσκοπήσεις και τις προθέσεις του ΣΥΡΙΖΑ (ΒΙΝΤΕΟ) http://t.co/hgSMjNu4Ng,OK
102,Χατζημαρκάκης: «Συνεργάζομαι με τη ΝΔ για να ακουστεί η φωνή της μεσαίας παραγωγικής τάξης με τον πιο ουσιαστικό τρόπο». via @protagongr,OK
103,Συμπόρευση με τη ΝΔ ανακοίνωσε ο Γιώργος Χατζημαρκάκης Τη συμπόρευσή του με τη ΝΔ και τον πρωθυπουργό Αντώνη Σαμ... [link removed],OK
104,Είναι και κάμποσοι υποψήφιοι του ΣΥΡΙΖΑ που και την αυτοδυναμία να πάρει κ τις καλύτερες προθέσεις να έχει αυτοδυναμία δε θα είναι.,Sarcastic
105,@avgerinosx ΕΚΛΟΓΕΣ 2015 – Νεολαία ΠΑΣΟΚ κατά Γκρέκου: «Οι περιφερόμενοι πολιτικοί τυχοδιώκτες δε... http://t.co/K6HPhRDST3 @FREEDYBRUNA,OK
106,@avgerinosx ΕΚΛΟΓΕΣ 2015 – Νεολαία ΠΑΣΟΚ κατά Γκρέκου: «Οι περιφερόμενοι πολιτικοί τυχοδι... http://t.co/1UOvWLzHmC @damalakes @kali_nda,OK
107,. @freedybruna ΕΚΛΟΓΕΣ 2015 – Στη ΝΔ και ο Γιώργος Χατζημαρκάκης για το «εθνικό συμφέρον» http://t.co/Ez3VCiQmCS @zappasaspa,OK
108,ΕΚΛΟΓΕΣ 2015 – Στη ΝΔ και ο Γιώργος Χατζημαρκάκης για το «εθνικό συμφέρον» http://t.co/5ha1u1kbQT,OK
109,Στο Ποτάμι του Θεοδωράκη «βούτηξαν» και οι… Δούρου με Τσίπρα http://t.co/nlqHfmxQfK via @EMAILiT,Sarcastic
110,Συμπόρευση με τη ΝΔ και του Γιώργου Χατζημαρκάκη http://t.co/8X8o9bUFkQ,OK
111,Παραστατίδης 22/12/14 : Δεν ζήτησα να με βάλουν στα ψηφοδέλτια του ΣΥΡΙΖΑ 9/1/15 Ο Παραστατίδης είναι στα ψηφοδέλτια του ΣΥΡΙΖΑ #ekloges,Sarcastic
112,@NodarasSpiros @AdonisGeorgiadi Αναμενόμενη απάντηση. Θα συμφωνήσω.Φταίει ο ΣΥΡΙΖΑ που δεν ανέλαβε νωρίτερα και μας χρεοκόπησε η διαπλοκή.,Sarcastic
113,6. Σαμαρα 7. Καληνυχτα 8. Περειρα 9. Παναγιωτη 10. Νεα Δημοκρατια  2015/1/9 12:31 EET,OK
114,"Ούτε ο Ριβάλντο δεν ήταν τέτοια μεταγραφή! "" @protothema  Alert! Υποψήφια με τον ΣΥΡΙΖΑ στην Κοζάνη η @rachelmakri #εκλογεσ2015",Sarcastic
115,"Newsfish | Πολιτική | Θεοδωρακης: ""Ο ΣΥΡΙΖΑ μας εκμεταλλεύτηκε"" http://t.co/pLNk5szX3X",OK
116,Ποσο λαϊκό κομμα ο Συριζα ...πορεία μέσα απο λαϊκή έκανε σήμερα!,Sarcastic
117,που  εδώ και 40  χρόνια δίνει   μάχες για την σταθερότητα της  χωράς και  αυτό  είναι το  ΠΑΣΟΚ  . Το νέο  προεδρείο αποτελείτε,OK
118,Μήνυμα αλληλεγγύης στον ΣΥΡΙΖΑ από το Κόμμα Σοσιαλισμού &amp; Ελευθερίας της Βραζιλίας :: left.gr http://t.co/EK4G94Aa7i,OK
119,ΠΑΣΟΚΟΙ ΓΙΑ ΠΑΣΟΚΟΥΣ “@ZeroCoolGR:όταν ο@harryklynn έλεγε τα παρακάτω κάποιοι ανέμιζαν σημαίες @pasok http://t.co/ZFK2vvGr45”,Sarcastic
120,@manos029 χα χα χα καλο!!!,Sarcastic
121,"`` Στα γραφεία του κόμματος ο πρόεδρος του ΣΥΡΙΖΑ Αλέξης Τσίπρας, με τους Λάκη Νικολάου, Γιώργο Πάντζα, Θωμά Μαύρο... http://t.co/KOKJ76RjcB",OK
122,"Προβάδισμα 5,5 μονάδων για τον ΣΥΡΙΖΑ http://t.co/kQylExC32U",OK
123,"Κώστας Πουλάκης,μέλος Πολιτικής Γραμματείας ΣΥΡΙΖΑ @poulakis_k:Ο κ.Παπανδρέου θα κριθεί κ απ'τον τρόπο που θα κάνει τον προεκλογικό του λόγο",OK
124,Επίσημο: Συμπόρευση με τη ΝΔ αποφάσισε ο Γιώργος Χατζημαρκάκης http://t.co/pQEagHsdaO,OK
125,Θα πει την αλήθεια η Νέα Δημοκρατία για τις καταθέσεις; http://t.co/j7Xlc1sE25,OK
126,Συνάντηση για το Κίνημα Δημοκρατών Σοσιαλιστών πραγματοποιήθηκε στη Δράμα. Οι πρώτοι υποψήφιοι... http://t.co/gib6PYmqVY,OK
127,«Άνοιγμα» επιχειρεί η ΝΔ με τα ψηφοδέλτιά της « ΘΡΙΑΣΙΟ http://t.co/bqg1c8qaZH,OK
128,Βενιζέλος: «Θα συνυπάρξουμε με τη ΝΔ οι δύο μας πάλι; Όχι» http://t.co/HpRQDUINx2,OK
129,"@NEMECIS_ @NodarasSpiros καλά ψήφισε εσύ ΣΥΡΙΖΑ ώστε να νομιμοποιήσουν 1,5 εκατομμύριο ""λαθρο"" που θα ψηφίζουνε &gt;&gt;&gt;",Sarcastic
130,Θεοδωράκης στο Bloomberg: Το Ποτάμι δεν θα ρισκάρει ένα Grexit | iefimerida.gr - http://t.co/7LHPtDztgW,OK
131,Και ο Χατζημαρκάκης στα ψηφοδέλτια της ΝΔ http://t.co/h7RiSll1Qg http://t.co/eqONKwC9mr,OK
132,«Άνοιγμα» επιχειρεί η ΝΔ με τα ψηφοδέλτιά της http://t.co/UF1RdjUbmU,OK
133,"Διαλέξτε ποιο ΠΑΣΟΚ θα σας κυβερνήσει. Αυτό του Μπενυ, του Γιωργακη, του Σταύρου ή το βαθύ του Αλέξη;",Sarcastic
134,XIOS_VITRINE: Προβάδισμα ΣΥΡΙΖΑ σε τέσσερις δημοσκοπήσεις - Ποια... http://t.co/SwD1kxISks,OK
135,Χαμός στην εκπομπή του Γιώργου Τράγκα - Οι εκπρόσωποι του ΣΥΡΙΖΑ έφυγαν έξαλλοι on air! (VIDEO) http://t.co/0xeKeWcp2o,OK
136,"Να βγει ο Συριζα να ξανανοίξει το εργοστάσιο, να σταματήσουμε να πίνουμε κοακολα στα κρυφά επιτέλους.",Sarcastic
137,"Ιστορικά πάντως η ΝΔ κατέβαζε ωραίες γκομενες για να μαζέψει ψήφους, παλιότερα πχ είχε τη Φάνη Πάλλη-Πετραλιά.",Sarcastic
138,@AlexDinnerville @NodarasSpiros Εσύ το λες αυτό. Εγώ επιμένω ότι θα είμαι εδώ να κάνω κριτική κ στο ΣΥΡΙΖΑ αν κάνει κωλοτούμπες.,OK
139,Τα ονόματα που «κλείδωσαν» για το ψηφοδέλτιο της ΝΔ  http://t.co/tOE0yjL7sm,OK
140,Υποψήφια με τον ΣΥΡΙΖΑ στην Κοζάνη η Ραχήλ Μακρή | Patrisnews http://t.co/xih5yaP95t,OK
141,Με τον ΣΥΡΙΖΑ κατεβαίνει η Ραχήλ Μακρή στην Κοζάνη http://t.co/ykVWevoJn5,OK
142,Βάζει πούλμαν η ΚΟ του ΚΚΕ Χολαργού για το ΣΕΦ http://t.co/HooWRpSzFQ #tweko,OK
143,"Χρωματικος+κομματικος αχταρμας ""@syriza_gr: Η ελπίδα έρχεται. Η Ευρώπη αλλάζει. #syriza  #ekloges2015 http://t.co/DqH5AkCpwM""",Sarcastic
144,Θεοχάρης στο realfm: Στο Ποτάμι υπάρχει κοινή λογική που μας λείπει τόσο πολύ. Για αυτό είπε τίποτα ; http://t.co/NaE1caOLKO,Sarcastic
145,Το helpmevote.gr μου εβγαλε χθες οτι ιδεολογικα πλησιαζω τη Δημ.αρ.  ΜπαρμπαΦωτη βαστα γερα..θα μπουμε στη Βουλη. #not #ekloges2015,Sarcastic
146,Η Χρυσή Αυγή παρουσιάζει το ψηφοδέλτιο | Οι υποψήφιοι για την Μαγνησία http://t.co/3OxhIiXWbR,OK
147,βιβετα Μια θέση για τη Ραχήλ Μακρή στα ψηφοδέλτια του ΣΥΡΙΖΑ http://t.co/pi2YrJgjUc http://t.co/huwAivI3qd,OK
148,«Άνοιγμα» επιχειρεί η ΝΔ με τα ψηφοδέλτιά της:   Άνοιγμα» επιχειρεί η ΝΔ με τα ψηφοδέλτια -που παρουσιάζει σήμ... http://t.co/Ps3lwex5XO,OK
149,@avgerinosx Παππάς: Ματαιοπονεί η ΝΔ για το θέμα του Grexit http://t.co/Y2xbnN9fqN @FREEDYBRUNA,OK
150,"Αχαχαχαχαχαχα!!!! Καιρό ειχα ν ακούσω τοσο καλο ανεκδοτο! ""@Real_gr: Θεοχάρης: Στο Ποτάμι υπάρχει κοινή λογική που μας λείπει τόσο πολύ""",Sarcastic
151,Οι πρώτοι υποψήφιοι της ΝΔ για τις εκλογές: Τα πρώτα ονόματα όσων θα στελεχώσουν τα ψηφοδέλτια της ΝΔ στις επε... http://t.co/MUiYIsHPLK,OK
152,Ανακοινώθηκε το ψηφοδέλτιο του ΣΥΡΙΖΑ για την Π.Ε. Κοζάνης http://t.co/CJNKb1YyME,OK
153,Η Ραχήλ Μακρή στον ΣΥΡΙΖΑ | Protagon http://t.co/y0p9IniWf2,OK
154,Στον ΣΥΡΙΖΑ η Ραχηλ Μακρή!!!ΧΑΧΧΑΧΑΧΑΧΑΧΑΧΑΧΑΧΑΧΑΧΑΧΑΕλατε πατριώτες!Ελάτε Χριστιανές!Ελάτε!Μπάτε σκύλοι αλέστε!,Sarcastic
